name,ok,frames,gifKB,mp4KB,dGifKB,dMp4KB,simSec,note
gameoflife,1,100,414.390625,523.298828125,1829.3740234375,2618.9677734375,0.2651713,
wildfire,1,200,2278.6015625,2226.4775390625,1986.33203125,3073.8388671875,0.3057623,
heroescowards,1,200,187.26171875,386.2265625,1411.25,1724.732421875,0.0370006,
economy,1,200,259.2509765625,575.8076171875,1595.892578125,1843.98828125,0.1215615,3000 sweeps instead of 100000 (distribution equilibrates well before)
segregation,1,70,641.9453125,457.466796875,2680.4228515625,1890.3916015625,19.0063499,
diffusion1d,1,200,252.095703125,421.330078125,1543.96484375,1789.5908203125,0.1113579,
diffusion2d,1,100,950.54296875,83.5859375,1729.013671875,1609.7548828125,0.412987,
preypredator,1,100,580.150390625,1785.111328125,1759.384765625,3661.9736328125,1.4704647,grid scaled by 0.50
voter,1,200,548.9296875,317.2373046875,2260.9072265625,2711.2763671875,1.0655455,
epidemic,1,200,551.43359375,655.19140625,2629.1201171875,3438.5439453125,0.1745994,
netdiffusion,1,200,603.78515625,276.65234375,1664.9970703125,1637.34765625,0.1962356,
